county,vaccines,deaths,cases,vd_diff,vc_diff
atlantic,0.03246730117117374,0.022861356932153392,0.02762374904188122,0.009605944239020347,0.004843552129292519
bergen,0.11747178924571852,0.11493889591234724,0.09677789435005046,0.0025328933333712833,0.020693894895668058
burlington,0.0536360527740575,0.03308048883270122,0.04508187862775776,0.020555563941356284,0.008554174146299741
camden,0.06316074430798164,0.04835651074589128,0.05898021245712366,0.014804233562090367,0.0041805318508579825
cape_may,0.015382341207648248,0.007374631268436578,0.00516261832039492,0.00800770993921167,0.010219722887253329
cumberland,0.016677115094178328,0.014433206911083017,0.017325115265222242,0.002243908183095311,-0.0006480001710439144
essex,0.08420304619154817,0.11888959123472398,0.09601971272232096,-0.03468654504317581,-0.01181666653077279
gloucester,0.037733664833442565,0.024388959123472397,0.03077785112039625,0.013344705709970168,0.006955813713046315
hudson,0.04918715983244522,0.08791613990729034,0.09130435505512612,-0.038728980074845126,-0.0421171952226809
hunterdon,0.016087610064685266,0.004846186262115465,0.008557808855095862,0.011241423802569801,0.007529801209589404
mercer,0.026842960134499758,0.03998103666245259,0.0382898348793477,-0.013138076527952833,-0.011446874744847943
middlesex,0.07985745020374434,0.0876527602191319,0.0957121171058079,-0.007795310015387566,-0.015854666902063566
monmouth,0.08180228250648278,0.058944374209860935,0.07150517342573395,0.02285790829662184,0.010297109080748823
morris,0.07900614082580572,0.04403708386009271,0.04406431907475238,0.03496905696571301,0.034941821751053335
ocean,0.06545108711138974,0.08069953645174884,0.07144032894441497,-0.0152484493403591,-0.005989241833025238
passaic,0.051174735702276805,0.07448377581120944,0.07655805493158907,-0.02330904010893263,-0.025383319229312265
salem,0.005804220214857664,0.006531816266329541,0.006294902724964626,-0.0007275960514718767,-0.000490682510106962
somerset,0.04321196534921494,0.03360724820901812,0.02628695511930553,0.009604717140196818,0.016925010229909408
sussex,0.017343202348046618,0.010429835651074588,0.011035200577282151,0.006913366696972029,0.006308001770764467
union,0.05264938876699057,0.07695954487989887,0.0724612138554367,-0.0243101561129083,-0.019811825088446137
warren,0.010849742113811872,0.009587020648967551,0.00874070354599552,0.0012627214648443207,0.002109038567816352
